TruckNumber,Mileage,EngineTemperature,OilPressure,BreakdownRisk,InspectionDate
DT2246,692220,133,47,Medium,2026-03-01
DT2247,548023,121,49,Medium,2026-06-20
DT2248,344229,134,26,Medium,2026-03-17
DT2249,897998,93,37,Medium,2026-01-04
DT2250,922186,89,46,Low,2026-02-23
DT2251,556486,92,58,Low,2026-03-27
DT2252,903437,78,11,Medium,2026-03-04
DT2253,211770,96,55,Low,2026-04-09
DT2254,244578,115,8,Medium,2026-02-04
DT2255,242263,122,30,Medium,2026-06-19
DT2256,174695,137,54,Low,2026-05-28
DT2257,306966,138,39,Medium,2026-01-09
DT2258,214551,119,55,Low,2026-06-27
DT2259,76611,135,14,Medium,2026-03-23
DT2260,204150,75,24,Low,2026-03-16
DT2261,874018,95,42,Low,2026-06-24
DT2262,390268,140,38,Medium,2026-05-20
DT2263,235111,104,53,Low,2026-06-21
DT2264,372750,101,25,Medium,2026-02-04
DT2265,163800,92,40,Low,2026-03-28
DT2266,843089,138,14,High,2026-05-10
DT2267,128591,113,13,Medium,2026-04-16
DT2268,405417,107,21,Medium,2026-01-27
DT2269,906209,88,57,Low,2026-04-24
DT2270,626723,121,46,Medium,2026-06-06
DT2271,536644,108,28,Medium,2026-04-01
DT2272,755428,87,11,Medium,2026-06-17
DT2273,167037,107,13,Medium,2026-05-15
DT2274,943825,135,48,Medium,2026-03-01
DT2275,273432,77,22,Low,2026-04-03
DT2276,554662,102,32,Medium,2026-02-28
DT2277,769840,108,54,Medium,2026-03-21
DT2278,495498,77,14,Medium,2026-03-03
DT2279,137264,123,36,Medium,2026-02-06
DT2280,926827,92,43,Low,2026-03-07
DT2281,669530,140,13,High,2026-03-26
DT2282,163322,96,19,Low,2026-02-24
DT2283,237780,121,35,Medium,2026-05-21
DT2284,599262,139,32,Medium,2026-05-12
DT2285,674856,81,47,Low,2026-05-07
DT2286,281761,76,45,Low,2026-05-16
DT2287,992519,77,35,Medium,2026-05-25
DT2288,87320,125,60,Low,2026-03-05
DT2289,318551,123,30,Medium,2026-03-20
DT2290,243876,106,28,Low,2026-04-05
DT2291,980853,105,59,Medium,2026-06-06
DT2292,222622,78,47,Low,2026-02-28
DT2293,273836,93,9,Medium,2026-06-20
DT2294,855417,85,49,Low,2026-06-16
DT2295,671036,136,58,Medium,2026-01-03
DT2296,842563,103,54,Medium,2026-03-07
DT2297,95542,92,10,Low,2026-02-06
DT2298,199417,128,34,Medium,2026-02-28
DT2299,710981,129,37,Medium,2026-01-04
DT2300,107655,99,44,Low,2026-06-23
DT2301,256547,124,16,High,2026-05-01
DT2302,599079,137,57,Medium,2026-02-23
DT2303,797484,111,44,Medium,2026-06-19
DT2304,265982,117,59,Low,2026-06-23
DT2305,427413,121,29,Medium,2026-02-04
DT2306,507701,127,11,High,2026-06-19
DT2307,861862,95,39,Low,2026-01-01
DT2308,71170,85,56,Low,2026-04-22
DT2309,179903,84,60,Low,2026-03-13
DT2310,460815,115,23,Medium,2026-02-10
DT2311,187984,103,26,Low,2026-04-26
DT2312,834817,86,17,Medium,2026-06-11
DT2313,819595,87,40,Low,2026-03-09
DT2314,132656,117,9,Medium,2026-05-20
DT2315,435322,126,55,Medium,2026-02-12
DT2316,113494,125,14,Medium,2026-02-25
DT2317,813513,77,52,Low,2026-05-11
DT2318,573980,77,12,Medium,2026-06-22
DT2319,552838,118,42,Medium,2026-01-08
DT2320,675257,101,54,Low,2026-01-09
DT2321,264762,107,51,Low,2026-06-21
DT2322,844509,118,33,Medium,2026-04-25
DT2323,840105,136,41,Medium,2026-03-23
DT2324,569167,96,39,Low,2026-05-22
DT2325,174258,120,30,Low,2026-06-21
DT2326,297349,88,52,Low,2026-03-10
DT2327,406308,124,45,Medium,2026-06-16
DT2328,577619,115,59,Medium,2026-01-11
DT2329,926420,133,41,Medium,2026-04-01
DT2330,212516,76,52,Low,2026-02-14
DT2331,296313,101,12,Medium,2026-04-23
DT2332,606831,112,15,High,2026-01-28
DT2333,992082,94,21,Medium,2026-01-09
DT2334,381833,125,34,Medium,2026-03-18
DT2335,60740,135,25,Medium,2026-04-14
DT2336,850338,124,21,High,2026-01-02
DT2337,160319,121,52,Low,2026-01-16
DT2338,782176,105,48,Medium,2026-03-09
DT2339,620674,106,36,Medium,2026-01-12
DT2340,470471,78,48,Low,2026-03-22
DT2341,734041,135,21,High,2026-06-18
DT2342,576681,122,25,High,2026-04-07
DT2343,696318,111,29,Medium,2026-05-19
DT2344,646922,113,23,Medium,2026-04-07
DT2345,297313,136,54,Medium,2026-02-06
DT2346,141629,113,35,Low,2026-02-27
DT2347,766869,76,8,Medium,2026-01-11
DT2348,939864,138,46,Medium,2026-02-05
DT2349,596086,117,58,Medium,2026-03-23
DT2350,141860,87,39,Low,2026-04-28
DT2351,780604,124,49,Medium,2026-04-03
DT2352,549753,80,56,Low,2026-04-11
DT2353,823763,97,52,Medium,2026-01-08
DT2354,510162,79,47,Low,2026-01-16
DT2355,576449,138,11,High,2026-04-12
DT2356,656513,118,9,High,2026-04-08
DT2357,583863,94,34,Low,2026-01-27
DT2358,170352,101,51,Low,2026-06-05
DT2359,340254,117,56,Low,2026-01-08
DT2360,209826,83,29,Low,2026-01-18
DT2361,259572,132,46,Medium,2026-05-26
DT2362,911319,79,16,Medium,2026-04-09
DT2363,919825,137,27,High,2026-04-10
DT2364,818139,130,38,Medium,2026-03-20
DT2365,974020,76,22,Medium,2026-03-05
DT2366,697051,90,42,Low,2026-05-08
DT2367,307020,101,34,Low,2026-01-04
DT2368,287140,137,33,Medium,2026-04-24
DT2369,597427,129,24,High,2026-01-07
DT2370,699936,84,43,Low,2026-01-23
DT2371,621778,125,32,Medium,2026-01-09
DT2372,223521,140,51,Low,2026-05-24
DT2373,419828,91,17,Medium,2026-06-12
DT2374,620823,96,52,Low,2026-05-10
DT2375,345803,131,48,Medium,2026-02-21
DT2376,460773,110,40,Low,2026-02-10
DT2377,975931,95,53,Low,2026-04-12
DT2378,808075,85,39,Low,2026-02-02
DT2379,820149,127,15,High,2026-01-10
DT2380,100541,94,21,Low,2026-03-02
DT2381,255201,84,34,Low,2026-02-25
DT2382,123477,88,58,Low,2026-01-22
DT2383,543022,104,50,Low,2026-04-21
DT2384,179919,93,28,Low,2026-04-25
DT2385,379378,91,41,Low,2026-05-23
DT2386,432584,107,31,Medium,2026-02-15
DT2387,557677,123,12,High,2026-01-23
DT2388,281182,115,56,Low,2026-06-28
DT2389,251124,90,50,Low,2026-01-20
DT2390,289674,94,47,Low,2026-03-07
DT2391,738942,90,45,Low,2026-05-26
DT2392,186965,113,8,Medium,2026-02-21
DT2393,599422,92,19,Medium,2026-06-19
DT2394,230378,116,9,Medium,2026-06-28
DT2395,461846,75,56,Low,2026-04-13
DT2396,964417,111,53,Medium,2026-02-08
DT2397,943099,87,12,Medium,2026-06-16
DT2398,378627,92,30,Low,2026-02-27
DT2399,585771,81,35,Low,2026-04-01
DT2400,825438,121,23,High,2026-01-01
DT2401,900427,85,59,Low,2026-05-08
DT2402,915454,108,42,Medium,2026-02-17
DT2403,421561,91,8,Medium,2026-05-26
DT2404,204512,92,37,Low,2026-04-04
DT2405,914986,84,30,Medium,2026-06-01
DT2406,61923,113,49,Low,2026-01-20
DT2407,619687,107,23,Medium,2026-06-19
DT2408,51320,121,29,Medium,2026-03-08
DT2409,720828,139,58,Medium,2026-04-17
DT2410,596423,101,50,Low,2026-03-06
DT2411,200631,89,25,Low,2026-04-05
DT2412,523589,134,60,Medium,2026-02-26
DT2413,292133,133,56,Medium,2026-05-21
DT2414,884260,109,57,Medium,2026-05-02
DT2415,863152,95,23,Medium,2026-02-28
DT2416,89062,105,22,Low,2026-05-22
DT2417,376910,93,56,Low,2026-04-10
DT2418,437865,130,56,Medium,2026-01-21
DT2419,741382,77,26,Medium,2026-04-28
DT2420,538724,101,58,Low,2026-05-10
DT2421,429813,110,44,Low,2026-02-09
DT2422,912403,75,55,Low,2026-04-07
DT2423,180527,87,58,Low,2026-05-04
DT2424,592127,94,53,Low,2026-02-06
DT2425,75613,98,12,Medium,2026-03-08
DT2426,295538,110,36,Medium,2026-02-16
DT2427,957016,90,51,Low,2026-06-27
DT2428,635489,97,8,Medium,2026-04-11
DT2429,607385,82,26,Medium,2026-05-08
DT2430,222863,122,46,Low,2026-05-17
DT2431,540520,117,18,Medium,2026-06-05
DT2432,364457,101,24,Medium,2026-03-13
DT2433,539065,84,42,Low,2026-06-16
DT2434,805875,133,14,High,2026-05-19
DT2435,120548,99,60,Low,2026-05-17
DT2436,608029,114,52,Medium,2026-05-27
DT2437,931575,92,14,Medium,2026-04-23
DT2438,967412,109,44,Medium,2026-05-16
DT2439,139178,106,44,Low,2026-06-01
DT2440,374418,106,40,Low,2026-02-03
DT2441,869544,77,55,Low,2026-04-10
DT2442,420671,77,13,Medium,2026-06-01
DT2443,599875,107,35,Medium,2026-06-09
DT2444,548516,117,57,Medium,2026-05-27
DT2445,130191,116,24,Medium,2026-02-10
DT2446,486987,84,57,Low,2026-04-01
DT2447,825475,94,21,Medium,2026-04-21
DT2448,988867,79,38,Low,2026-03-19
DT2449,779192,75,33,Medium,2026-06-14
DT2450,467661,114,28,Medium,2026-02-27
DT2451,53251,75,46,Low,2026-03-22
DT2452,103415,136,37,Medium,2026-06-24
DT2453,375550,116,30,Medium,2026-04-17
DT2454,754168,84,39,Low,2026-04-09
DT2455,887901,139,46,Medium,2026-03-08
DT2456,926807,115,21,High,2026-03-02
DT2457,728864,130,47,Medium,2026-05-06
DT2458,391373,85,40,Low,2026-01-16
DT2459,882338,111,57,Medium,2026-01-10
DT2460,805299,115,30,Medium,2026-03-17
DT2461,844552,90,39,Low,2026-06-17
DT2462,271951,113,47,Low,2026-02-19
DT2463,258172,92,22,Low,2026-06-09
DT2464,811012,101,34,Medium,2026-05-19
DT2465,304446,86,21,Low,2026-03-11
DT2466,271354,139,59,Medium,2026-03-13
DT2467,650350,90,35,Low,2026-02-11
DT2468,972858,131,22,High,2026-03-27
DT2469,68599,101,40,Low,2026-02-11
DT2470,968424,76,52,Low,2026-04-05
DT2471,656425,123,46,Medium,2026-06-27
DT2472,291416,94,20,Low,2026-03-07
DT2473,524342,117,18,Medium,2026-05-18
DT2474,425568,134,37,Medium,2026-04-02
DT2475,999411,109,22,High,2026-04-04
DT2476,671273,108,43,Medium,2026-02-16
DT2477,359417,128,60,Medium,2026-04-02
DT2478,625334,111,11,High,2026-01-09
DT2479,811786,120,17,High,2026-01-17
DT2480,421449,128,59,Medium,2026-01-05
DT2481,988559,115,8,High,2026-06-01
DT2482,803786,92,54,Low,2026-01-21
DT2483,290680,139,57,Medium,2026-03-28
DT2484,791345,135,14,High,2026-05-26
DT2485,398753,75,24,Low,2026-06-06
DT2486,177865,113,53,Low,2026-02-21
DT2487,451387,101,52,Low,2026-04-22
DT2488,963233,118,18,High,2026-06-05
DT2489,993048,93,20,Medium,2026-06-02
DT2490,533538,116,57,Medium,2026-04-26
DT2491,438990,135,33,Medium,2026-01-07
DT2492,558630,88,24,Medium,2026-03-27
DT2493,676677,96,25,Medium,2026-03-20
DT2494,381903,126,60,Medium,2026-04-16
DT2495,329341,84,38,Low,2026-02-02
DT2496,687558,131,59,Medium,2026-03-23
DT2497,510535,133,49,Medium,2026-02-03
DT2498,907140,121,48,Medium,2026-04-04
DT2499,793913,135,28,High,2026-06-11
